"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-11","2.91",",,W"," 0635",",,X"," 0933",",,W","0.00",",,0,2400",,,,,,,"79",",,0","46",",,0","  120",",,X","  330",",,X","0.0",",,0","10.1",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-12","2.24",",,W"," 1551",",,X"," 1550",",,W","0.00",",,0,2400",,,,,,,"84",",,0","50",",,0","  300",",,X","  290",",,X","0.0",",,0","12.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-13","3.80",",,W"," 1357",",,X"," 0931",",,W","0.00",",,0,2400",,,,,,,"80",",,0","57",",,0","  260",",,X","  180",",,X","0.0",",,0","12.1",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-14","3.58",",,W"," 1343",",,X"," 1238",",,W","0.00",",,0,2400",,,,,,,"81",",,0","52",",,0","  270",",,X","  260",",,X","0.0",",,0","12.1",",,X","15.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-15","3.58",",,W"," 1347",",,X"," 1747",",,W","0.00",",,0,2400",,,,,,,"82",",,0","52",",,0","  270",",,X","  290",",,X","0.0",",,0","13.0",",,X","15.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-16","2.68",",,W"," 1609",",,X"," 1608",",,W","0.00",",,0,2400",,,,,,,"80",",,0","51",",,0","  280",",,X","  270",",,X","0.0",",,0","13.0",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-17","4.25",",,W"," 1333",",,X"," 1422",",,W","0.00",",,0,2400",,,,,,,"79",",,0","53",",,0","  270",",,X","  290",",,X","0.0",",,0","13.0",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-18","4.92",",,W"," 1315",",,X"," 1948",",,W","0.00",",,0,2400",,,,,,,"84",",,0","55",",,0","   90",",,X","  320",",,X","0.0",",,0","13.0",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-19","4.92",",,W"," 1511",",,X"," 0323",",,W","0.00",",,0,2400",,,,,,,"82",",,0","60",",,0","  290",",,X","  350",",,X","0.0",",,0","13.0",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-20","5.82",",,W"," 1326",",,X"," 1326",",,W","0.00",",,0,2400",,,,,,,"82",",,0","60",",,0","  270",",,X","  270",",,X","0.0",",,0","15.0",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-21","4.03",",,W"," 1730",",,X"," 1144",",,W","0.00",",,0,2400",,,,,,,"74",",,0","61",",,0","  270",",,X","  160",",,X","0.0",",,0","12.1",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-22","4.47",",,W"," 1452",",,X"," 1558",",,W","0.03",",,0,2400",,,,,,,"69",",,0","60",",,0","  260",",,X","  310",",,X","0.0",",,0","12.1",",,X","16.1",",,X",,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-23","4.92",",,W"," 1100",",,X"," 1106",",,W","0.25",",,0,2400",,,,,,,"65",",,0","58",",,0","  140",",,X","  150",",,X","0.0",",,0","13.0",",,X","16.1",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-24","6.71",",,W"," 2114",",,X"," 2124",",,W","0.23",",,0,2400",,,,,,,"60",",,0","54",",,0","  270",",,X","  280",",,X","0.0",",,0","16.1",",,X","17.9",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-25","9.40",",,W"," 1500",",,X"," 1753",",,W","0.00",",,0,2400",,,,,,,"59",",,0","51",",,0","  280",",,X","  270",",,X","0.0",",,0","25.9",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-26","8.72",",,W"," 0108",",,X"," 0050",",,W","0.00",",,0,2400",,,,,,,"57",",,0","48",",,0","  290",",,X","  290",",,X","0.0",",,0","25.1",",,X","34.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-27","4.92",",,W"," 1306",",,X"," 1125",",,W","0.00",",,0,2400",,,,,,,"66",",,0","44",",,0","  330",",,X","  310",",,X","0.0",",,0","13.0",",,X","19.9",",,X",,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-28","3.13",",,W"," 1523",",,X"," 1257",",,W","0.00",",,0,2400",,,,,,,"66",",,0","45",",,0","  280",",,X","  290",",,X","0.0",",,0","12.1",",,X","16.1",",,X",,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-29","2.46",",,W"," 1449",",,X"," 1444",",,W","0.00",",,0,2400",,,,,,,"78",",,0","46",",,0","  270",",,X","  280",",,X","0.0",",,0","14.1",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-30","3.58",",,W"," 1511",",,X"," 1443",",,W","0.00",",,0,2400",,,,,,,"74",",,0","50",",,0","  280",",,X","  250",",,X","0.0",",,0","12.1",",,X","15.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-01-31","5.14",",,W"," 1520",",,X"," 1427",",,W","0.00",",,0,2400",,,,,,,"73",",,0","52",",,0","  280",",,X","  280",",,X","0.0",",,0","14.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-01","5.59",",,W"," 1105",",,X"," 2347",",,W","0.00",",,0,2400",,,,,,,"63",",,0","49",",,0","  260",",,X","  310",",,X","0.0",",,0","14.1",",,X","17.0",",,X","    1",",,W",,,,,,,,,"    1",",,W",,,"    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-02","4.92",",,W"," 1446",",,X"," 1602",",,W","0.00",",,0,2400",,,,,,,"80",",,0","49",",,0","  250",",,X","  270",",,X","0.0",",,0","14.1",",,X","15.0",",,X",,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-03","4.92",",,W"," 0800",",,X"," 0800",",,W","0.00",",,0,2400",,,,,,,"80",",,0","53",",,0","   40",",,X","   40",",,X","0.0",",,0","15.0",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-04","6.71",",,W"," 1337",",,X"," 2058",",,W","0.00",",,0,2400",,,,,,,"78",",,0","50",",,0","  130",",,X","  150",",,X","0.0",",,0","16.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-05","8.28",",,W"," 1719",",,X"," 1720",",,W","0.41",",,0,2400",,,,,,,"62",",,0","54",",,0","  210",",,X","  210",",,X","0.0",",,0","17.0",",,X","23.9",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-06","8.72",",,W"," 1200",",,X"," 1203",",,W","0.61",",,0,2400",,,,,,,"59",",,0","53",",,0","  240",",,X","  260",",,X","0.0",",,0","19.9",",,X","23.9",",,X","    1",",,W",,,,,"    1",",,0","    1",",,0","    1",",,X",,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-07","6.49",",,W"," 1604",",,X"," 1223",",,W","0.37",",,0,2400",,,,,,,"59",",,0","50",",,0","  240",",,X","  140",",,X","0.0",",,0","13.0",",,X","17.9",",,X",,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-08","8.50",",,W"," 1507",",,X"," 1602",",,W","0.00","T,,0,2400",,,,,,,"58",",,0","49",",,0","  260",",,X","  240",",,X","0.0",",,0","21.0",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-09","14.54",",,W"," 0936",",,X"," 0936",",,W","0.20",",,0,2400",,,,,,,"54",",,0","48",",,0","  270",",,X","  290",",,X","0.0",",,0","38.0",",,X","45.0",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-10","6.93",",,W"," 1520",",,X"," 1507",",,W","0.00",",,0,2400",,,,,,,"57",",,0","44",",,0","  260",",,X","  280",",,X","0.0",",,0","17.9",",,X","23.0",",,X",,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-11","6.71",",,W"," 1748",",,X"," 1743",",,W","0.00","T,,0,2400",,,,,,,"56",",,0","42",",,0","  270",",,X","  270",",,X","0.0",",,0","16.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-12","8.50",",,W"," 1541",",,X"," 1541",",,W","0.00",",,0,2400",,,,,,,"58",",,0","44",",,0","  270",",,X","  270",",,X","0.0",",,0","28.0",",,X","32.0",",,X",,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-13","6.04",",,W"," 1420",",,X"," 1419",",,W","0.18",",,0,2400",,,,,,,"55",",,0","43",",,0","  260",",,X","  260",",,X","0.0",",,0","25.9",",,X","32.0",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,,,,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-14","4.92",",,W"," 1616",",,X"," 1634",",,W","0.00",",,0,2400",,,,,,,"54",",,0","41",",,0","  260",",,X","  260",",,X","0.0",",,0","14.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-15","4.03",",,W"," 1434",",,X"," 1649",",,W","0.00",",,0,2400",,,,,,,"56",",,0","42",",,0","  250",",,X","  250",",,X","0.0",",,0","12.1",",,X","15.0",",,X",,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-16","12.30",",,W"," 1516",",,X"," 1516",",,W","1.12",",,0,2400",,,,,,,"58",",,0","47",",,0","  250",",,X","  250",",,X","0.0",",,0","28.0",",,X","34.9",",,X","    1",",,W",,,,,"    1",",,0",,,"    1",",,W",,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-17","4.47",",,W"," 1658",",,X"," 1501",",,W","0.52",",,0,2400",,,,,,,"57",",,0","48",",,0","  250",",,X","  220",",,X","0.0",",,0","10.1",",,X","15.0",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-18","5.59",",,W"," 1506",",,X"," 1503",",,W","0.00",",,0,2400",,,,,,,"60",",,0","47",",,0","  280",",,X","  270",",,X","0.0",",,0","14.1",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-19","6.04",",,W"," 1821",",,X"," 1949",",,W","0.00",",,0,2400",,,,,,,"72",",,0","46",",,0","  280",",,X","  280",",,X","0.0",",,0","15.0",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-20","5.37",",,W"," 1545",",,X"," 1454",",,W","0.00",",,0,2400",,,,,,,"70",",,0","50",",,0","  270",",,X","  270",",,X","0.0",",,0","13.0",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-21","4.92",",,W"," 2230",",,X"," 2230",",,W","0.00",",,0,2400",,,,,,,"64",",,0","48",",,0","  270",",,X","  270",",,X","0.0",",,0","14.1",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-22","2.91",",,W"," 1602",",,X"," 1601",",,W","0.00",",,0,2400",,,,,,,"73",",,0","57",",,0","  280",",,X","  270",",,X","0.0",",,0","13.0",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-23","5.37",",,W"," 1345",",,X"," 1344",",,W","0.00","T,,0,2400",,,,,,,"69",",,0","57",",,0","  270",",,X","  280",",,X","0.0",",,0","15.0",",,X","17.0",",,X",,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-24","6.49",",,W"," 2040",",,X"," 1441",",,W","0.00",",,0,2400",,,,,,,"65",",,0","50",",,0","  270",",,X","  290",",,X","0.0",",,0","17.0",",,X","19.9",",,X","    1",",,X","    1",",,X",,,,,,,"    1",",,W","    1",",,0","    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-25","6.71",",,W"," 1700",",,X"," 1705",",,W","0.00",",,0,2400",,,,,,,"60",",,0","52",",,0","  270",",,X","  250",",,X","0.0",",,0","15.0",",,X","17.9",",,X","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-26","4.92",",,W"," 1914",",,X"," 1913",",,W","0.00",",,0,2400",,,,,,,"61",",,0","49",",,0","  260",",,X","  260",",,X","0.0",",,0","17.9",",,X","21.9",",,X","    1",",,W",,,,,,,"    1",",,0","    1",",,X",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-27","5.37",",,W"," 1818",",,X"," 1703",",,W","0.00",",,0,2400",,,,,,,"63",",,0","53",",,0","  270",",,X","  280",",,X","0.0",",,0","16.1",",,X","17.9",",,X","    1",",,W",,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-02-28","6.26",",,W"," 1431",",,X"," 0200",",,W","0.00",",,0,2400",,,,,,,"82",",,0","51",",,0","  270",",,X","  320",",,X","0.0",",,0","15.0",",,X","17.9",",,X","    1",",,W",,,,,,,,,"    1",",,W",,,"    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-03-01","6.49",",,W"," 1157",",,X"," 1156",",,W","0.00",",,0,2400",,,,,,,"77",",,0","54",",,0","  270",",,X","  270",",,X","0.0",",,0","23.0",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-03-02","4.47",",,W"," 1508",",,X"," 1508",",,W","0.00","T,,0,2400",,,,,,,"68",",,0","57",",,0","  260",",,X","  260",",,X","0.0",",,0","19.9",",,X","21.9",",,X",,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-03-03","7.38",",,W"," 1220",",,X"," 1250",",,W","0.00",",,0,2400",,,,,,,"64",",,0","54",",,0","  260",",,X","  250",",,X","0.0",",,0","17.0",",,X","21.0",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-03-04","7.38",",,W"," 1752",",,X"," 2140",",,W","0.04",",,0,2400",,,,,,,"62",",,0","50",",,0","  270",",,X","  310",",,X","0.0",",,0","16.1",",,X","21.0",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-03-05","8.28",",,W"," 1517",",,X"," 1510",",,W","0.00",",,0,2400",,,,,,,"58",",,0","46",",,0","  260",",,X","  270",",,X","0.0",",,0","21.9",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-03-06","9.17",",,W"," 1635",",,X"," 1759",",,W","0.00",",,0,2400",,,,,,,"59",",,0","51",",,0","  280",",,X","  280",",,X","0.0",",,0","28.0",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-03-07","7.61",",,W"," 1706",",,X"," 1217",",,W","0.00",",,0,2400",,,,,,,"62",",,0","48",",,0","  280",",,X","  290",",,X","0.0",",,0","15.0",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-03-08","6.49",",,W"," 1321",",,X"," 1322",",,W","0.00",",,0,2400",,,,,,,"60",",,0","47",",,0","  250",",,X","  230",",,X","0.0",",,0","15.0",",,X","21.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-03-09","6.93",",,W"," 1509",",,X"," 1454",",,W","0.00","T,,0,2400",,,,,,,"59",",,0","53",",,0","  250",",,X","  250",",,X","0.0",",,0","14.1",",,X","17.9",",,X",,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-03-10","8.28",",,W"," 1730",",,X"," 1633",",,W","0.00",",,0,2400",,,,,,,"60",",,0","50",",,0","  270",",,X","  270",",,X","0.0",",,0","19.9",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-03-11","5.82",",,W"," 1442",",,X"," 1442",",,W","0.00",",,0,2400",,,,,,,"59",",,0","49",",,0","  270",",,X","  260",",,X","0.0",",,0","16.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2009-03-12","8.72",",,W"," 1545",",,X"," 1524",",,W","0.00",",,0,2400",,,,,,,"61",",,0","53",",,0","  270",",,X","  270",",,X","0.0",",,0","17.9",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,
